ID,ARCHIVO,CATEGORÍA,SUBCATEGORÍA,TEMA,TEXTO,DIMENSIONES,TRANSPARENCIA,ORIGINAL_BASE,VARIANTE
01-funcionales-003-lavender-02,output\stickers\01-funcionales\01-circulo-vacio-lavender-02.png,FUNCIONALES,texto,lavender,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,lavender
01-funcionales-003-blush-02,output\stickers\01-funcionales\01-circulo-vacio-blush-02.png,FUNCIONALES,texto,blush,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,blush
01-funcionales-003-sage-02,output\stickers\01-funcionales\01-circulo-vacio-sage-02.png,FUNCIONALES,texto,sage,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,sage
01-funcionales-003-sky-02,output\stickers\01-funcionales\01-circulo-vacio-sky-02.png,FUNCIONALES,texto,sky,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,sky
01-funcionales-003-sand-02,output\stickers\01-funcionales\01-circulo-vacio-sand-02.png,FUNCIONALES,texto,sand,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,sand
01-funcionales-003-neutral-02,output\stickers\01-funcionales\01-circulo-vacio-neutral-02.png,FUNCIONALES,texto,neutral,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,neutral
01-funcionales-003-multicolor-02,output\stickers\01-funcionales\01-circulo-vacio-multicolor-02.png,FUNCIONALES,texto,multicolor,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-02,multicolor
01-funcionales-003-lavender-03,output\stickers\01-funcionales\01-circulo-vacio-lavender-03.png,FUNCIONALES,texto,lavender,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,lavender
01-funcionales-003-blush-03,output\stickers\01-funcionales\01-circulo-vacio-blush-03.png,FUNCIONALES,texto,blush,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,blush
01-funcionales-003-sage-03,output\stickers\01-funcionales\01-circulo-vacio-sage-03.png,FUNCIONALES,texto,sage,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,sage
01-funcionales-003-sky-03,output\stickers\01-funcionales\01-circulo-vacio-sky-03.png,FUNCIONALES,texto,sky,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,sky
